dataset,measure,stat.o,p.value
EWAS39,mean,10.22330247,0.008
EWAS39,precision,9.753038645,0.004
EWAS39,probe.type,2.359422744,0.32
EWAS39,refgene.pos,2.519488129,0.336
EWAS39,sd.b,15.11358181,0.001
EWAS39,sd.m,3.036099494,0.586
EWAS40,chr,3.871469827,0.137
EWAS40,cpg.loc,2.998603975,0.219
EWAS40,dhs,0.337700957,0.995
EWAS40,dip,2.97582453,0.609
EWAS40,mad,27.14629162,0.001
EWAS40,mean,20.92735613,0.001
EWAS40,precision,27.84062469,0.001
EWAS40,probe.type,4.317137486,0.047
EWAS40,refgene.pos,2.066660016,0.486
EWAS40,sd.b,35.49722581,0.001
EWAS40,sd.m,26.14224097,0.001
EWAS41,chr,4.596754679,0.084
EWAS41,cpg.loc,3.589120659,0.14
EWAS41,dhs,4.983797077,0.027
EWAS41,dip,4.405106068,0.213
EWAS41,direction,7.567827943,0.003
EWAS41,mad,4.796218292,0.176
EWAS41,mean,10.0789193,0.004
EWAS41,precision,3.397332836,0.47
EWAS41,probe.type,2.595500223,0.268
EWAS41,refgene.pos,3.438296418,0.178
EWAS41,sd.b,3.101860083,0.505
EWAS41,sd.m,7.661251461,0.019
EWAS42,chr,5.920226151,0.035
EWAS42,cpg.loc,3.3677142,0.158
EWAS42,dhs,2.091597889,0.327
EWAS42,dip,2.43842111,0.786
EWAS42,mad,3.800963627,0.381
EWAS42,mean,4.582414668,0.209
EWAS42,precision,3.684261239,0.406
EWAS42,probe.type,3.088877168,0.141
EWAS42,refgene.pos,0.755615624,0.937
EWAS42,sd.b,5.155076728,0.113
EWAS42,sd.m,2.072111296,0.874
EWAS43,chr,1.148458111,0.813
EWAS43,cpg.loc,18.92748946,0.001
EWAS43,dhs,2.755383776,0.194
EWAS43,dip,9.044780066,0.007
EWAS43,direction,8.537699256,0.002
EWAS43,mad,31.93887368,0.001
EWAS43,mean,41.04636788,0.001
EWAS43,precision,49.75163771,0.001
EWAS43,probe.type,8.44319218,0.001
EWAS43,refgene.pos,12.99900248,0.001
EWAS43,sd.b,53.53016018,0.001
EWAS43,sd.m,37.0406219,0.001
EWAS44,chr,0.881470214,0.905
EWAS44,cpg.loc,2.832046795,0.241
EWAS44,dhs,0.75037214,0.913
EWAS44,dip,2.207852981,0.853
EWAS44,direction,3.043092696,0.17
EWAS44,mad,3.410300156,0.46
EWAS44,mean,8.047115817,0.011
EWAS44,precision,2.30148687,0.837
EWAS44,probe.type,1.780150872,0.502
EWAS44,refgene.pos,2.882958576,0.262
EWAS44,sd.b,2.792232478,0.665
EWAS44,sd.m,5.308481143,0.133
EWAS45,chr,2.302028751,0.38
EWAS45,cpg.loc,5.533601479,0.03
EWAS45,dhs,6.922193774,0.006
EWAS45,dip,1.667647981,0.963
EWAS45,direction,1.550009833,0.643
EWAS45,icc.b,69.55391342,0.001
EWAS45,icc.m,73.21948336,0.001
EWAS45,mad,69.57840277,0.001
EWAS45,mean,109.7328327,0.001
EWAS45,precision,40.83739945,0.001
EWAS45,probe.type,1.131477064,0.767
EWAS45,refgene.pos,3.419502866,0.155
EWAS45,sd.b,65.93169574,0.001
EWAS45,sd.m,4.830121334,0.159
EWAS46,chr,2.348333337,0.398
EWAS46,cpg.loc,1.243665732,0.759
EWAS46,dhs,0.50277236,0.972
EWAS46,dip,6.329462953,0.056
EWAS46,mad,3.642301396,0.394
EWAS46,mean,4.818647028,0.172
EWAS46,precision,4.57722379,0.219
EWAS46,probe.type,2.252123461,0.331
EWAS46,refgene.pos,1.397018664,0.734
EWAS46,sd.b,7.293354374,0.023
EWAS46,sd.m,3.3837408,0.478
EWAS47,chr,3.365370018,0.195
EWAS47,cpg.loc,1.391267519,0.722
EWAS47,dhs,2.478838483,0.248
EWAS47,dip,4.554031651,0.19
EWAS47,direction,1.636848829,0.562
EWAS47,mad,8.959799645,0.005
EWAS47,mean,9.004962649,0.002
EWAS47,precision,8.854849014,0.007
EWAS47,probe.type,0.398734762,0.99
EWAS47,refgene.pos,1.628727419,0.629
EWAS47,sd.b,8.580318523,0.007
EWAS47,sd.m,7.01406001,0.024
EWAS48,chr,2.246155627,0.44
EWAS48,cpg.loc,1.415022094,0.735
EWAS48,dhs,0.538343981,0.968
EWAS48,dip,2.527319054,0.727
EWAS48,direction,0.738915729,0.895
EWAS48,mad,4.09800126,0.327
EWAS48,mean,2.46309588,0.768
EWAS48,precision,4.540148894,0.226
EWAS48,probe.type,0.965631285,0.868
EWAS48,refgene.pos,3.131201743,0.22
EWAS48,sd.b,4.061292723,0.296
EWAS48,sd.m,3.934672785,0.339
EWAS49,chr,1.359052246,0.75
EWAS49,cpg.loc,3.541159922,0.151
EWAS49,dhs,1.513111908,0.576
EWAS49,dip,2.363777566,0.804
EWAS49,direction,1.959088642,0.443
EWAS49,mad,13.51066774,0.001
EWAS49,mean,8.584150649,0.009
EWAS49,precision,6.574415904,0.042
EWAS49,probe.type,1.677215295,0.565
EWAS49,refgene.pos,2.381939737,0.361
EWAS49,sd.b,8.60366785,0.006
EWAS49,sd.m,1.812030202,0.941
EWAS50,chr,5.287980328,0.059
EWAS50,cpg.loc,60.86093794,0.001
EWAS50,dhs,5.744643141,0.017
EWAS50,dip,6.435044,0.048
EWAS50,direction,18.41366165,0.001
EWAS50,mad,411.5146547,0.001
EWAS50,mean,349.0347407,0.001
EWAS50,precision,176.009161,0.001
EWAS50,probe.type,23.48208929,0.001
EWAS50,refgene.pos,35.2641336,0.001
EWAS50,sd.b,340.9999999,0.001
EWAS50,sd.m,58.08016887,0.001
EWAS51,chr,3.368472154,0.192
EWAS51,cpg.loc,8.169120802,0.005
EWAS51,dhs,0.27226234,0.996
EWAS51,dip,3.659487053,0.409
EWAS51,direction,3.836967081,0.067
EWAS51,mad,79.68175399,0.001
EWAS51,mean,64.776027,0.001
EWAS51,precision,9.369113049,0.007
EWAS51,probe.type,5.855970148,0.015
EWAS51,refgene.pos,7.828614682,0.005
EWAS51,sd.b,47.82488667,0.001
EWAS51,sd.m,4.236284139,0.282
EWAS52,chr,1.402881905,0.705
EWAS52,cpg.loc,8.041428266,0.007
EWAS52,dhs,1.956448254,0.368
EWAS52,dip,4.467088,0.23
EWAS52,direction,1.589416319,0.559
EWAS52,mad,7.441949583,0.022
EWAS52,mean,6.006010898,0.067
EWAS52,precision,6.979244728,0.028
EWAS52,probe.type,6.6247467,0.009
EWAS52,refgene.pos,1.963875196,0.501
EWAS52,sd.b,7.154397773,0.031
